Part Number,Component Description,Sub-System,Supplier,Supplier Country,Ordered Date,Estimated Delivery Date,Lead Time (Wks),Status,Notes (AI Summary)
WNG-SPR-TI,Titanium Wing Spar Assembly,Wing Structure,GKN Aerospace,UK,2025-10-15,2026-01-07,12,On Track,Forging complete; final machining underway. Supplier confirmed on-time shipment via air freight.
ENG-TRB-FN,High-Bypass Turbofan Blade Set,Propulsion,Rolls-Royce,UK,2025-12-18,2026-01-08,3,On Track,Blade coating process delayed 48 hrs. Expediting AOG shipment to prevent engine assembly line stoppage.
FUS-SKN-AL7,Aluminum Fuselage Skin Panels (Section 41),Fuselage,Spirit AeroSystems,USA,2025-09-25,2026-01-15,14,On Track,All panels passed fatigue testing. Preparing export crating for ocean freight booking next week.
LDG-ACT-MN,Main Landing Gear Actuator,Landing Gear,Safran Landing Systems,France,2025-11-03,2026-01-19,10,On Track,MAJOR RISK: Hydraulic seal supplier quality issue. Awaiting root cause analysis and revised delivery commitment.
HYD-PMP-3K,Hydraulic Pump Assembly (3000 PSI),Hydraulics,Parker Aerospace,USA,2025-11-17,2026-01-12,8,On Track,Customs cleared at LAX. Currently on truck to assembly facility; ETA in 3 days.
AVN-FMS-01,Flight Management System Unit,Avionics,Honeywell Aerospace,USA,2025-12-02,2026-01-13,6,On Track,Software certification (DO-178C) pending FAA review. Hardware ready but cannot ship until approval.
ECS-PCK-02,Environmental Control System Pack,ECS,Liebherr Aerospace,Germany,2025-12-09,2026-01-20,6,On Track,Production on schedule. Pre-shipment inspection (PSI) scheduled for next Monday.
NAV-IRS-01,Inertial Reference System (Triple Redundant),Avionics,Thales,France,2025-10-20,2026-01-12,12,On Track,All 3 units passed incoming quality check. Released to avionics integration bay.
EMP-RUD-AS,Rudder Assembly with Actuators,Empennage,Leonardo,Italy,2025-11-18,2026-01-13,8,On Track,Composite layup and curing complete. Final balancing and painting in progress.
FUE-TNK-CF,Carbon Fiber Wing Fuel Tank (Center),Fuel System,GKN Aerospace,UK,2025-12-08,2026-01-12,5,On Track,Tank received and leak tested at 150% max pressure. Cleared for installation.
